Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 43.52     22.46    22.46       55     0.41     0.91  minimax(Game&, int, int, int, Move*)
 16.03     30.74     8.28 21256851     0.00     0.00  Game::check_for_check(bool, Position)
 11.57     36.71     5.97 14017974     0.00     0.00  Game::toString[abi:cxx11]()
  5.56     39.58     2.87  1676116     0.00     0.00  tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::rehash_bucket(tbb::detail::d2::hash_map_base<tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > >, tbb::detail::d1::spin_rw_mutex>::bucket*, unsigned long)
  5.08     42.20     2.62  6801318     0.00     0.00  Piece::find_valid_moves(Game&, Position (&) [27])
  4.01     44.27     2.07  2441535     0.00     0.00  bool tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::lookup<false, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::node* (*)(tbb::detail::d1::tbb_allocator<tbb::detail::d2::hash_map_base<tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > >, tbb::detail::d1::spin_rw_mutex>::bucket>&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::array<int, 3ul> const*)>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::array<int, 3ul> const*, tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::const_accessor*, bool, tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::node* (*)(tbb::detail::d1::tbb_allocator<tbb::detail::d2::hash_map_base<tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > >, tbb::detail::d1::spin_rw_mutex>::bucket>&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::array<int, 3ul> const*), tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::node*)
  3.33     45.99     1.72 18708904     0.00     0.00  Game::leap_then_look(Piece*, Position)
  2.23     47.14     1.15        1     1.15     1.17  call_minimax_IDS_fast(Game&)
  1.88     48.11     0.97 188955279     0.00     0.00  check_ob(Position)
  1.71     48.99     0.88 15447887     0.00     0.00  Game::move(Piece*, Position)
  1.26     49.64     0.65   364119     0.00     0.00  Game::get_all_moves(bool)
  1.20     50.26     0.62  1905382     0.00     0.00  Game::check_for_winner(bool)
  0.73     50.63     0.38 12771842     0.00     0.00  Game::moveBack(MoveDetails)
  0.70     50.99     0.36  1762107     0.00     0.00  void std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > >::_M_realloc_insert<std::tuple<int, Move> >(__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, std::tuple<int, Move>&&)
  0.66     51.33     0.34   266613     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#2}> >(__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#2}>, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#2}>)
  0.29     51.48     0.15       86     0.00     0.00  void std::vector<Move, std::allocator<Move> >::_M_realloc_insert<Move const&>(__gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >, Move const&)
  0.08     51.52     0.04    51208     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#1}> >(__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#1}>, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#1}>)
  0.04     51.54     0.02        7     0.00     0.00  std::vector<std::shared_ptr<std::atomic<bool> >, std::allocator<std::shared_ptr<std::atomic<bool> > > >::_M_default_append(unsigned long)
  0.04     51.56     0.02                             Piece::can_capture(Piece*)
  0.02     51.57     0.01      125     0.00     0.00  ImGui::ColorConvertFloat4ToU32(ImVec4 const&)
  0.02     51.58     0.01        1     0.01     0.01  ImFontAtlasBuildWithStbTruetype(ImFontAtlas*)
  0.02     51.59     0.01                             Game::switch_turns[abi:cxx11]()
  0.02     51.60     0.01                             ImGui::BeginTable(char const*, int, int, ImVec2 const&, float)
  0.01     51.61     0.01                             Game::initialize_board()
  0.01     51.61     0.01                             Game::capture(Piece*)
  0.00     51.61     0.00    20646     0.00     0.00  stbrp_pack_rects
  0.00     51.61     0.00    15590     0.00     0.00  stbtt__close_shape(stbtt_vertex*, int, int, int, int, int, int, int, int, int)
